 
Rojo,,
,,
Agrupaciones,Centro,Claustro.
Lista 1 Estudiantes al Frente,,,
Lista 3 Franja Morada,,,
Lista 6 Agite,,
Lista 10 Fuera de Escala,,
Blancos,,
Nulos,,	 	 
Impugnados,,
TOTAL,,
