
Rojo,,
,,
Agrupaciones,Centro,Claustro,
Lista 1 Frente de Estudiantes de Izquierda,,,
Lista 3 Franja Morada,,,
Lista 10 Unite,,,
Lista 13 Ya Basta/Las Rojas/Nuevo Más,,,
Lista 16 Amalgama,,,
Lista 26 Cronopios,,,
Lista 34 Estudiantes Independientes de Arte y Diseño,,,	 
Lista 73 Arte para todxs,,,
Blanco,,,
Nulos ,,,
Impugnados,,,
TOTAL,,,
