
Rojo,,
,,
Agrupaciones,Centro,Claustro
Lista 3 Franja Morada,,
Lista 4 Contra Prensa- Juventud del PTS,,
Lista 8 miles en Perio,,
Lista 10 Nueva Generación,,
Lista 13 Ya Basta!- Nuevo MAS,,
Lista 17 Rodolfo Walsh,,
Lista 20 Fandango,,
Lista 31 Jorge Massetti,,
Blanco,,
Nulos,,
TOTAL,,
