
Rojo,,
,,
Agrupaciones,Centro,Claustro
Lista 3 Franja Morada,,,
Lista 1 La pinto,,
Lista 25 Minga,,,
Lista 504 La Izquierda en Veterinaria,,
Blanco,,
Anulados,,
TOTAL,,
