
Rojo,,
,,
Agrupaciones,Centro,Claustro
Lista 4 Frente de Izquierda,,
Lista 5 Ares,,
Lista 8 Tupac Amaru,,
Lista 11 Frente Natural,,
Anulados,,
TOTAL,,
