
Rojo,,
,,
Agrupaciones,Centro,Claustro
Lista 1 El Pelo de Einstein,,
Lista 2 Colectivo Estudiantil,,,
Lista 3 Franja Morada,,
Lista 4 En Clave Roja - Frente de Izquierda ,,
Lista 13 Ya Basta - Las Rojas - Nuevo MAS - Independientes,,
Lista 17 Suma,,,
Blancos,,
Nulos,,
TOTAL,,
