
Rojo,,
,,
Agrupaciones,Centro,Claustro
Lista 1 Aule,,
Lista 3 Franja Morada,,
Lista 7 UNITE - CEPA,,
Lista 10 FILPSI,,
Lista 13 Ya basta-Las Rojas,,
Lista 20 Sur Psicología,,
Lista 22 Frente de Estudiantes por Psicología ,,
Blancos,,
Nulos,,
Observados,,	 
TOTAL,,
