
Rojo,,
,,
Agrupaciones,Centro,Claustro
Lista 1 AULE,,
Lista 2 Ahora o Nunca ,,
Lista 3 Franja Morada,,
Lista 4 Frente de Estudiantes de Izquierda ,,
Lista 10 UNITE,,
Lista 13 Ya Basta- Las Rojas-Nuevo MAS,,
Lista 17 Proyecto Humanidades,,
Lista 26 Santiago Pampillón en el MUI,,
Lista 69 UTOPÍA,,
Blancos	,,
Nulos	,,
Observados,,
TOTAL,,
