
Rojo,,
,,
Agrupaciones,Centro,Claustro
Lista 1 Cinética,,
Lista 2 Gradiente + Estudiantes Independientes,,
Lista 4 Franja Morada,,,
Lista 10 Unidad,,,
Lista 13 ¡Ya basta!,,
Blancos	,,
Nulos	,,
TOTAL,,
