
Rojo,,
,,
Agrupaciones,Centro,Claustro
Lista 1 MUECE,,,
Lista 2 Sumak Kawsay,,
Lista 6 DND,,
Lista 10 Equilibrio ,,
Lista 14 En Clave Roja,,
Lista 17 Asimetría,,
Lista 133 Franja Morada,,,
Blancos,,
Anulados,,
TOTAL,,
